Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (19).JPG;117.2102749;0.236594061;155.9081873;0.314707487;155.7315022;0.314350841;120.0761844;0.242379024;159.6073077;0.322174324;156.790374;0.31648822;2175.04256;4.390418431
;;;;;;;;;;;;;;
img (190).JPG;100.7718783;0.203412439;134.292629;0.271075539;137.0280012;0.276597007;105.4323069;0.212819718;144.8288477;0.292343356;147.0778908;0.296883148;2067.143007;4.172618469
;;;;;;;;;;;;;;
img (192).JPG;107.5739485;0.217142715;141.0727853;0.28476158;155.6024505;0.314090344;108.9327396;0.219885494;154.2170016;0.311293755;148.4695025;0.299692177;2223.544154;4.488321017
;;;;;;;;;;;;;;
img (194).JPG;95.95654468;0.193692478;128.3937535;0.259168401;133.9765391;0.270437497;101.9940204;0.205879386;132.3896597;0.267234312;138.0362371;0.278632175;2061.677342;4.161585785
;;;;;;;;;;;;;;
img (196).JPG;113.3519778;0.228805919;150.4182844;0.303625879;147.771935;0.298284107;92.95189246;0.187627456;145.9624374;0.294631557;141.4699718;0.285563319;2158.171408;4.356363273
;;;;;;;;;;;;;;
img (198).JPG;101.5596639;0.205002618;141.1804688;0.284978944;149.1438111;0.301053299;109.4330346;0.220895361;143.2773317;0.289211554;142.5031903;0.287648915;2022.437561;4.082378573
;;;;;;;;;;;;;;
img (2).JPG;115.9177443;0.233985031;119.1046089;0.240417857;138.9373815;0.280451174;92.89018597;0.187502899;127.1829717;0.256724385;144.9064495;0.292499999;2026.459663;4.090497361
;;;;;;;;;;;;;;
img (202).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (204).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (206).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (208).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (210).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (211).JPG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
img (213).JPG;109.5781274;0.221188237;140.6893124;0.283987524;145.1364123;0.292964189;95.98757468;0.193755113;133.1709975;0.268811476;139.081065;0.280741206;1893.526753;3.822166476
;;;;;;;;;;;;;;
img (216).JPG;105.5215978;0.212999955;129.1045807;0.260603236;139.3757701;0.281336081;95.84592772;0.193469192;130.7124579;0.263848807;122.8043915;0.247886029;1937.750962;3.911434973
;;;;;;;;;;;;;;
img (218).JPG;112.0197343;0.226116728;125.74838;0.253828599;132.5489326;0.267555811;108.1508278;0.218307171;134.8491861;0.272198973;142.2818261;0.287202082;2127.517939;4.294487906
;;;;;;;;;;;;;;
img (220).JPG;128.5316314;0.259446713;161.47885;0.325952113;169.5959259;0.342336786;123.0264616;0.248334288;164.0738486;0.331190231;164.5307108;0.332112428;2344.306366;4.732084818
;;;;;;;;;;;;;;
img (222).JPG;102.9351335;0.207779064;127.1133371;0.256583824;138.4258653;0.279418657;108.3717789;0.21875317;123.1034575;0.248489707;131.5206017;0.26548008;2043.595089;4.125085968
;;;;;;;;;;;;;;
img (224).JPG;108.7126849;0.219441304;134.4393259;0.271371653;153.9429702;0.310740611;111.7514004;0.225575084;133.2406737;0.268952121;154.2775203;0.311415915;2153.999863;4.347942827
;;;;;;;;;;;;;;
img (226).JPG;117.6596849;0.237501214;144.2840321;0.291243622;146.5868288;0.295891918;117.0939006;0.236359154;147.8601366;0.298462145;145.7243413;0.294150949;2082.071735;4.202752759
;;;;;;;;;;;;;;
img (228).JPG;115.7006555;0.233546828;142.9456529;0.288542045;141.2250332;0.285068899;120.93848;0.244119605;125.3467593;0.25301791;144.9683874;0.292625023;2160.095799;4.360247742
;;;;;;;;;;;;;;
img (230).JPG;107.7224628;0.217442497;138.1857162;0.278933905;157.3025699;0.31752211;95.10202206;0.191967586;142.1100679;0.286855381;145.6403425;0.293981394;2011.330481;4.059958448
;;;;;;;;;;;;;;
img (232).JPG;107.7863303;0.217571417;150.8153452;0.304427363;152.4237489;0.307673996;117.300581;0.236776347;138.712552;0.279997346;160.0548668;0.323077741;;
;;;;;;;;;;;;;;
img (233).JPG;;;;;;;;;;;;;2082.395089;4.203405464
;;;;;;;;;;;;;;
img (235).JPG;104.8861533;0.211717283;126.3327934;0.255008263;136.0523744;0.274627662;103.3004612;0.208516494;129.7678767;0.261942128;139.1534773;0.280887373;1959.91269;3.95616939
;;;;;;;;;;;;;;
img (237).JPG;129.6241062;0.261651921;138.6054246;0.279781105;150.666257;0.304126422;116.5923209;0.235346694;146.6484932;0.29601639;146.0181446;0.294744004;2255.015968;4.551848248
;;;;;;;;;;;;;;
img (239).JPG;93.30204039;0.188334245;120.3064425;0.24284381;127.8616628;0.258094352;103.9084102;0.209743665;140.481193;0.283567425;140.7588193;0.284127826;2108.90051;4.256907813
;;;;;;;;;;;;;;
