Image,La2_length,La2_mm,La3_length,La3_mm,La4_length,La4_mm,Ra2_length,Ra2_mm,Ra3_length,Ra3_mm,Ra4_length,Ra4_mm,Body_length,Body_mm
img (1165).JPG,126.9614593,0.251651013,158.4223799,0.314009879,168.767077,0.33451416,131.4978676,0.260642653,165.8935567,0.32881854,160.558576,0.318244045,2725.361439,5.401954038
,,,,,,,,,,,,,,
img (1168).JPG,104.010043,0.206158884,100.3173193,0.198839516,,,102.5418273,0.203248725,123.1497622,0.244095827,129.0054726,0.255702463,2061.291609,4.08569754
,,,,,,,,,,,,,,
img (1170).JPG,92.49531351,0.183335474,112.7992414,0.223580003,116.4740131,0.230863788,86.26764358,0.170991575,121.2297176,0.240290096,110.9722452,0.219958703,,
,,,,,,,,,,,,,,
img (1171).JPG,,,,,,,,,,,,,1835.633229,3.638418813
,,,,,,,,,,,,,,
img (1173).JPG,102.5377647,0.203240673,125.5546879,0.248862644,132.7008125,0.263027017,98.86146143,0.195953851,128.4599255,0.254621131,126.739071,0.251210216,,
,,,,,,,,,,,,,,
img (1178).JPG,107.2839111,0.212648036,133.8591924,0.265323048,156.8130963,0.310820109,103.2383019,0.204629211,133.1816799,0.263980147,135.9279392,0.269423523,2143.254944,4.248157523
,,,,,,,,,,,,,,
img (1181).JPG,101.4786451,0.201141386,132.2471255,0.262127762,130.2322845,0.258134134,102.2936802,0.202756871,136.0903019,0.269745343,141.9013034,0.281263361,2078.353481,4.119515972
,,,,,,,,,,,,,,
img (1184).JPG,108.9185082,0.21588798,133.3247226,0.264263673,135.6648507,0.268902054,101.7962548,0.201770922,137.9912825,0.273513287,120.5385988,0.238920226,2401.716306,4.760455222
,,,,,,,,,,,,,,
img (1186).JPG,116.2990651,0.230517023,124.207457,0.24619229,,,109.5874635,0.21721392,133.7634977,0.265133371,129.0536757,0.255798007,2274.341411,4.507984736
,,,,,,,,,,,,,,
img (1189).JPG,95.88328225,0.190050786,129.8856944,0.257447156,122.7962597,0.243395148,95.87686459,0.190038066,125.9670141,0.249679918,125.6615594,0.249074475,2131.203913,4.224271106
,,,,,,,,,,,,,,
img (1191).JPG,106.4640549,0.211022994,137.1107942,0.271768066,149.2092628,0.295748508,95.95537436,0.19019368,142.9553354,0.283352564,142.3780893,0.282208401,2183.511074,4.32794942
,,,,,,,,,,,,,,
img (1193).JPG,88.0037491,0.17443272,116.9651783,0.231837329,117.4755855,0.23284901,98.70788388,0.195649445,120.5849677,0.239012134,116.8009185,0.231511749,2120.811859,4.203672959
,,,,,,,,,,,,,,
img (1195).JPG,94.99282943,0.188285815,109.6340073,0.217306174,121.0311381,0.239896491,74.90404068,0.148467715,112.4226828,0.222833624,118.7177052,0.235311022,1990.07516,3.944539021
,,,,,,,,,,,,,,
img (1197).JPG,95.57626565,0.189442247,123.206299,0.244207889,125.3306481,0.248418573,92.38092919,0.183108753,112.2743959,0.222539703,127.3228155,0.252367259,2054.913419,4.073055295
,,,,,,,,,,,,,,
